tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-M020,Brisbane,Hard,32,A,20170102,300,105777,7,,Grigor Dimitrov,R,188,BUL,25.6344969199,17,2035,105453,3,,Kei Nishikori,R,178,JPN,27.0116358658,5,4905,6-2 2-6 6-3,3,F,108,7,2,77,52,41,12,13,5,7,4,0,69,49,36,9,12,2,5
2017-M020,Brisbane,Hard,32,A,20170102,299,105777,7,,Grigor Dimitrov,R,188,BUL,25.6344969199,17,2035,105683,1,,Milos Raonic,R,196,CAN,26.0177960301,3,5450,7-6(7) 6-2,3,SF,87,4,1,58,36,27,18,10,0,0,4,3,61,28,24,16,10,2,4
